,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snowfall inches (last 3 hrs)
235,Ketchikan,US,2019-11-08 06:37:49,55.34,-131.65,51.8,100,90,23.04,moderate rain,0.0,0.0
236,Kyzyl-Suu,KG,2019-11-08 06:37:49,42.34,78.0,43.43,42,0,2.66,clear sky,0.0,0.0
237,Atasu,KZ,2019-11-08 06:37:49,48.68,71.64,35.94,52,95,15.43,overcast clouds,0.0,0.0
238,San Rafael,AR,2019-11-08 06:33:16,-34.61,-68.33,61.75,37,34,3.74,scattered clouds,0.0,0.0
239,Izumo,JP,2019-11-08 06:34:07,35.37,132.75,64.4,45,75,14.99,broken clouds,0.0,0.0
240,San Patricio,PY,2019-11-08 06:37:50,-26.98,-56.83,69.06,98,20,4.34,few clouds,0.0,0.0
241,Dunedin,NZ,2019-11-08 06:33:40,-45.87,170.5,62.91,44,100,17.27,overcast clouds,0.0,0.0
242,Azanka,RU,2019-11-08 06:37:50,58.04,64.79,21.49,78,89,12.1,overcast clouds,0.0,0.0
243,Maldonado,UY,2019-11-08 06:37:51,-34.91,-54.96,57.2,82,0,5.82,clear sky,0.0,0.0
244,Selty,RU,2019-11-08 06:37:51,57.31,52.14,23.97,63,65,6.51,broken clouds,0.0,0.0
245,Mountain Home,US,2019-11-08 06:33:14,43.13,-115.69,35.6,86,1,1.95,clear sky,0.0,0.0
246,Henties Bay,NA,2019-11-08 06:37:51,-22.12,14.28,59.61,75,26,3.89,scattered clouds,0.0,0.0
247,Namatanai,PG,2019-11-08 06:37:52,-3.66,152.44,84.31,68,100,5.39,overcast clouds,0.0,0.0
248,Gushikawa,JP,2019-11-08 06:37:52,26.35,127.87,78.8,50,20,12.75,few clouds,0.0,0.0
249,Dehloran,IR,2019-11-08 06:37:52,32.69,47.27,76.41,22,0,2.08,clear sky,0.0,0.0
250,Manyana,AU,2019-11-08 06:37:52,-35.26,150.51,69.8,32,80,27.51,light rain,1.06,0.0
251,Namibe,AO,2019-11-08 06:37:52,-15.19,12.15,73.13,83,89,7.7,light rain,0.75,0.0
252,Alice Springs,AU,2019-11-08 06:37:53,-23.7,133.88,93.2,9,0,9.17,clear sky,0.0,0.0
253,Brooks,CA,2019-11-08 06:37:53,50.57,-111.89,26.47,74,74,7.02,broken clouds,0.0,0.0
254,Excelsior Springs,US,2019-11-08 06:37:53,39.34,-94.23,28.4,92,1,2.77,clear sky,0.0,0.0
255,Lazaro Cardenas,MX,2019-11-08 06:37:53,28.39,-105.62,59.65,80,100,5.26,light rain,1.0,0.0
256,Dano,BF,2019-11-08 06:37:53,11.14,-3.06,76.82,61,0,4.45,clear sky,0.0,0.0
257,Yelizovo,RU,2019-11-08 06:37:54,53.19,158.38,39.2,93,90,13.42,light intensity shower rain,0.0,0.0
258,Xinzhou,CN,2019-11-08 06:37:54,38.41,112.73,53.89,47,0,3.56,clear sky,0.0,0.0
259,Umm Lajj,SA,2019-11-08 06:37:54,25.02,37.27,81.61,40,0,4.32,clear sky,0.0,0.0
260,Inirida,CO,2019-11-08 06:37:54,3.87,-67.92,73.08,97,48,1.95,scattered clouds,0.0,0.0
261,Noumea,NC,2019-11-08 06:37:54,-22.28,166.46,80.6,47,0,11.41,clear sky,0.0,0.0
262,Taunggyi,MM,2019-11-08 06:37:55,20.78,97.03,76.06,78,22,2.82,light rain,2.38,0.0
263,Matara,BI,2019-11-08 06:37:55,-3.48,29.48,66.15,77,82,5.08,light rain,0.38,0.0
264,Hennenman,ZA,2019-11-08 06:37:55,-27.97,27.03,71.08,14,23,5.32,few clouds,0.0,0.0
265,Sawakin,SD,2019-11-08 06:37:55,19.1,37.33,86.49,69,0,7.74,clear sky,0.0,0.0
266,Rawson,AR,2019-11-08 06:37:55,-43.3,-65.11,54.52,48,3,15.23,clear sky,0.0,0.0
267,Kununurra,AU,2019-11-08 06:37:55,-15.77,128.74,105.8,10,46,5.82,scattered clouds,0.0,0.0
268,Kamina,CD,2019-11-08 06:37:56,-8.74,25.0,71.17,83,100,3.53,overcast clouds,0.0,0.0
269,Severo-Kurilsk,RU,2019-11-08 06:37:56,50.68,156.12,33.37,73,83,34.47,light snow,0.0,0.25
270,Vao,EE,2019-11-08 06:37:56,59.1,26.19,34.0,98,100,2.77,overcast clouds,0.0,0.0
271,Arvin,US,2019-11-08 06:37:57,35.21,-118.83,64.4,36,1,4.7,clear sky,0.0,0.0
272,Marsa Matruh,EG,2019-11-08 06:37:57,31.35,27.25,62.6,82,0,4.76,clear sky,0.0,0.0
273,Talnakh,RU,2019-11-08 06:37:57,69.49,88.39,-14.81,75,20,15.66,few clouds,0.0,0.0
274,Aleksandrov Gay,RU,2019-11-08 06:37:57,50.14,48.57,54.28,70,99,13.0,overcast clouds,0.0,0.0
275,Auki,NG,2019-11-08 06:37:57,12.18,6.51,71.96,34,0,3.74,clear sky,0.0,0.0
276,Caucaia,BR,2019-11-08 06:37:58,-3.73,-38.66,80.6,74,40,13.87,scattered clouds,0.0,0.0
277,Maniitsoq,GL,2019-11-08 06:37:58,65.42,-52.9,37.89,47,100,23.87,overcast clouds,0.0,0.0
278,Gao,ML,2019-11-08 06:37:58,16.28,-0.04,80.31,17,0,7.7,clear sky,0.0,0.0
279,Norman Wells,CA,2019-11-08 06:37:58,65.28,-126.83,12.2,85,75,10.29,light snow,0.0,0.0
280,Codrington,AU,2019-11-08 06:37:58,-28.95,153.24,100.4,5,0,17.22,clear sky,0.0,0.0
281,Batagay,RU,2019-11-08 06:37:59,67.65,134.64,-6.34,96,93,2.13,overcast clouds,0.0,0.0
282,Kenai,US,2019-11-08 06:34:19,60.55,-151.26,42.8,87,90,13.87,light rain,0.0,0.0
283,Sri Aman,MY,2019-11-08 06:37:59,1.24,111.46,91.4,63,75,2.24,broken clouds,0.0,0.0
284,Eyrarbakki,IS,2019-11-08 06:37:59,63.86,-21.15,37.4,64,90,19.46,overcast clouds,0.0,0.0
285,Brae,GB,2019-11-08 06:37:59,60.4,-1.35,35.6,71,2,17.56,light rain,0.13,0.0
286,Santa Rosa,AR,2019-11-08 06:37:59,-36.62,-64.29,55.49,47,32,14.03,scattered clouds,0.0,0.0
287,Greytown,ZA,2019-11-08 06:38:00,-29.06,30.59,55.87,92,100,5.01,light rain,0.5,0.0
288,Kruisfontein,ZA,2019-11-08 06:38:00,-34.0,24.73,60.78,70,73,10.6,light rain,0.56,0.0
289,Otavi,NA,2019-11-08 06:38:00,-19.64,17.34,71.53,57,100,5.61,light rain,0.31,0.0
290,Halvad,IN,2019-11-08 06:38:00,23.02,71.18,83.12,35,0,13.91,clear sky,0.0,0.0
291,Lompoc,US,2019-11-08 06:38:01,34.64,-120.46,55.4,93,1,8.34,clear sky,0.0,0.0
292,Talara,PE,2019-11-08 06:38:01,-4.58,-81.27,66.16,87,24,18.23,few clouds,0.0,0.0
293,Rabo De Peixe,PT,2019-11-08 06:38:01,37.8,-25.58,59.0,82,20,4.7,few clouds,0.0,0.0
294,Rafai,CF,2019-11-08 06:38:01,4.95,23.92,74.86,81,72,1.54,broken clouds,0.0,0.0
295,Hofn,IS,2019-11-08 06:38:02,64.25,-15.21,39.56,72,99,8.43,light snow,0.0,0.19
296,Jalu,LY,2019-11-08 06:38:02,29.03,21.55,65.41,86,0,11.68,clear sky,0.0,0.0
297,Delta Del Tigre,UY,2019-11-08 06:38:02,-34.76,-56.41,59.0,67,0,11.41,clear sky,0.0,0.0
298,Oranjemund,ZA,2019-11-08 06:38:02,-28.55,16.43,62.56,51,98,3.71,overcast clouds,0.0,0.0
299,Port Hedland,AU,2019-11-08 06:38:02,-20.31,118.58,104.0,24,22,14.99,few clouds,0.0,0.0
300,Sakaraha,MG,2019-11-08 06:38:03,-22.91,44.53,91.4,27,0,7.56,clear sky,0.0,0.0
301,Ukiah,US,2019-11-08 06:38:03,39.15,-123.21,53.6,66,1,2.48,clear sky,0.0,0.0
302,Milheiros De Poiares,PT,2019-11-08 06:38:03,40.92,-8.47,42.8,100,20,2.24,few clouds,0.0,0.0
303,Clyde River,CA,2019-11-08 06:38:03,70.47,-68.59,12.2,85,75,13.87,broken clouds,0.0,0.0
304,Rio Gallegos,AR,2019-11-08 06:38:03,-51.62,-69.22,35.6,80,20,13.87,few clouds,0.0,0.0
305,Taoudenni,ML,2019-11-08 06:38:04,22.68,-3.98,66.54,26,59,4.03,broken clouds,0.0,0.0
306,Ouesso,CG,2019-11-08 06:38:04,1.61,16.05,73.26,90,57,0.58,light rain,0.19,0.0
307,Misratah,LY,2019-11-08 06:38:04,32.38,15.09,68.77,58,75,7.72,broken clouds,0.0,0.0
308,Panama City,US,2019-11-08 06:38:04,30.16,-85.65,71.6,94,20,5.82,light rain,0.0,0.0
309,Camacha,PT,2019-11-08 06:38:04,33.08,-16.33,66.2,63,75,8.05,broken clouds,0.0,0.0
310,Paamiut,GL,2019-11-08 06:38:05,61.99,-49.67,40.17,48,99,12.93,overcast clouds,0.0,0.0
311,Saint George,GR,2019-11-08 06:38:05,39.45,22.34,55.4,100,40,2.24,scattered clouds,0.0,0.0
312,Imeni Poliny Osipenko,RU,2019-11-08 06:38:05,52.42,136.49,22.08,41,75,3.02,broken clouds,0.0,0.0
313,Praia,BR,2019-11-08 06:38:05,-20.25,-43.81,66.42,89,98,0.89,light rain,0.25,0.0
314,Linxia,CN,2019-11-08 06:38:05,35.6,103.21,48.52,49,0,6.31,clear sky,0.0,0.0
315,Saint-Pierre,FR,2019-11-08 06:38:06,48.95,4.24,39.2,93,90,8.05,overcast clouds,0.0,0.0
316,Panjab,AF,2019-11-08 06:38:06,34.38,67.02,32.83,13,0,0.76,clear sky,0.0,0.0
317,Krasnyy Chikoy,RU,2019-11-08 06:38:06,50.36,108.75,38.55,53,29,1.14,scattered clouds,0.0,0.0
318,Sao Miguel Do Araguaia,BR,2019-11-08 06:38:06,-13.28,-50.16,78.37,70,88,2.8,overcast clouds,0.0,0.0
319,Hovd,NO,2019-11-08 06:38:06,63.83,10.7,23.0,85,20,6.93,few clouds,0.0,0.0
320,Acapulco,MX,2019-11-08 06:38:07,16.86,-99.88,80.6,83,40,6.93,scattered clouds,0.0,0.0
321,Tarata,PE,2019-11-08 06:38:07,-17.47,-70.03,59.0,93,90,5.82,overcast clouds,0.0,0.0
322,Havelock,US,2019-11-08 06:38:07,34.88,-76.9,64.4,88,90,13.87,light rain,0.0,0.0
323,Balotra,IN,2019-11-08 06:37:39,25.83,72.24,82.87,23,0,15.73,clear sky,0.0,0.0
324,San Pedro Del Pinatar,ES,2019-11-08 06:38:07,37.84,-0.79,57.2,47,21,12.75,few clouds,0.0,0.0
325,Palu,ID,2019-11-08 06:38:07,-0.9,119.87,82.51,64,31,4.88,light rain,2.13,0.0
326,Awjilah,LY,2019-11-08 06:38:08,29.14,21.3,65.41,86,0,11.68,clear sky,0.0,0.0
327,Biak,ID,2019-11-08 06:38:08,-0.91,122.88,83.14,67,24,11.59,few clouds,0.0,0.0
328,General Roca,AR,2019-11-08 06:38:08,-39.03,-67.58,51.8,53,48,12.06,scattered clouds,0.0,0.0
329,Tuatapere,NZ,2019-11-08 06:38:08,-46.13,167.69,50.85,82,41,5.91,light rain,1.94,0.0
330,Byron Bay,AU,2019-11-08 06:35:20,-28.65,153.62,100.4,35,0,19.46,clear sky,0.0,0.0
331,Najran,SA,2019-11-08 06:38:09,17.54,44.22,75.2,27,0,9.24,clear sky,0.0,0.0
332,Bonoua,CI,2019-11-08 06:38:09,5.27,-3.6,77.0,94,20,3.36,few clouds,0.0,0.0
333,Artigas,BR,2019-11-08 06:38:09,-30.4,-56.46,59.59,89,0,9.46,clear sky,0.0,0.0
334,Pipri,IN,2019-11-08 06:38:09,24.21,83.02,77.29,41,100,5.32,overcast clouds,0.0,0.0
335,Chateau-Gontier,FR,2019-11-08 06:38:10,47.83,-0.7,44.6,93,90,4.7,overcast clouds,0.0,0.0
336,Baker City,US,2019-11-08 06:38:10,44.77,-117.83,35.6,74,1,9.17,clear sky,0.0,0.0
337,Carutapera,BR,2019-11-08 06:38:10,-1.2,-46.02,80.71,82,5,15.08,clear sky,0.0,0.0
338,Calama,CL,2019-11-08 06:38:10,-22.46,-68.93,50.0,23,0,12.75,clear sky,0.0,0.0
339,Golkoy,TR,2019-11-08 06:38:10,40.69,37.62,64.4,63,30,5.32,scattered clouds,0.0,0.0
340,Baoning,CN,2019-11-08 06:38:11,25.34,110.03,77.0,33,1,13.42,clear sky,0.0,0.0
341,Egvekinot,RU,2019-11-08 06:38:11,66.32,-179.17,13.62,91,52,11.48,broken clouds,0.0,0.0
342,Bitung,ID,2019-11-08 06:38:11,1.44,125.19,87.8,66,40,8.05,scattered clouds,0.0,0.0
343,Pedernales,EC,2019-11-08 06:38:11,0.07,-80.05,72.14,88,100,6.04,overcast clouds,0.0,0.0
344,Uva,RU,2019-11-08 06:38:12,56.98,52.19,26.47,65,53,5.7,broken clouds,0.0,0.0
345,Middlebury,US,2019-11-08 06:38:12,44.01,-73.17,28.4,100,75,4.68,light rain,0.0,0.0
346,Hiriyur,IN,2019-11-08 06:38:12,13.94,76.62,81.45,59,2,7.72,light rain,0.37,0.0
347,Atambua,ID,2019-11-08 06:38:12,-9.11,124.89,84.31,63,21,7.16,light rain,0.13,0.0
348,Puerto Montt,CL,2019-11-08 06:38:13,-41.47,-72.94,42.8,87,94,6.93,overcast clouds,0.0,0.0
349,Tevaitoa,PF,2019-11-08 06:38:13,-16.78,-151.5,81.1,79,9,18.52,light rain,2.81,0.0
350,Itoman,JP,2019-11-08 06:38:13,26.12,127.67,78.8,53,20,20.8,few clouds,0.0,0.0
351,Ambulu,ID,2019-11-08 06:38:13,-8.35,113.61,79.25,79,0,10.33,clear sky,0.0,0.0
352,Shu,KZ,2019-11-08 06:38:13,43.6,73.76,46.83,44,0,2.04,clear sky,0.0,0.0
353,Moroni,GR,2019-11-08 06:38:14,35.09,24.92,71.6,73,20,16.11,few clouds,0.0,0.0
354,Stepnyak,KZ,2019-11-08 06:38:14,52.83,70.79,37.8,92,100,21.92,overcast clouds,0.0,0.0
355,Keffi,NG,2019-11-08 06:38:14,8.85,7.88,73.4,83,77,3.36,broken clouds,0.0,0.0
356,San Rafael Del Sur,NI,2019-11-08 06:38:14,11.85,-86.44,77.0,88,20,4.7,few clouds,0.0,0.0
357,Pisco,PE,2019-11-08 06:38:14,-13.71,-76.2,60.8,82,0,4.7,clear sky,0.0,0.0
358,Taonan,CN,2019-11-08 06:38:15,45.34,122.78,42.69,19,0,5.26,clear sky,0.0,0.0
359,Los Llanos De Aridane,ES,2019-11-08 06:38:15,28.66,-17.92,69.8,73,90,10.29,overcast clouds,0.0,0.0
360,Martapura,ID,2019-11-08 06:38:15,-3.41,114.85,91.4,59,40,13.87,scattered clouds,0.0,0.0
361,Lata,IN,2019-11-08 06:38:16,30.78,78.62,29.71,90,38,7.72,light snow,0.0,0.38
362,Kiama,AU,2019-11-08 06:38:16,-34.67,150.86,69.8,32,47,27.51,scattered clouds,0.0,0.0
363,Sitka,US,2019-11-08 06:38:16,37.17,-99.65,33.87,29,0,4.83,clear sky,0.0,0.0
364,Ikalamavony,MG,2019-11-08 06:38:16,-21.17,46.6,85.6,26,93,1.74,overcast clouds,0.0,0.0
365,Eureka,US,2019-11-08 06:38:16,40.8,-124.16,48.2,93,90,3.36,mist,0.0,0.0
366,Cayenne,GF,2019-11-08 06:38:16,4.94,-52.33,75.2,94,40,5.01,scattered clouds,0.0,0.0
367,Xichang,CN,2019-11-08 06:38:17,27.88,102.25,54.32,65,76,6.58,light rain,0.44,0.0
368,Ayia Marina,GR,2019-11-08 06:38:17,37.75,23.53,60.8,87,75,2.24,broken clouds,0.0,0.0
369,Kerman,IR,2019-11-08 06:38:17,30.29,57.06,53.6,8,75,4.25,broken clouds,0.0,0.0
370,Lhokseumawe,ID,2019-11-08 06:38:18,5.18,97.15,75.79,85,100,3.04,light rain,0.25,0.0
371,Mayskiy,RU,2019-11-08 06:38:18,43.63,44.06,53.6,50,14,1.19,few clouds,0.0,0.0
372,Djambala,CG,2019-11-08 06:38:18,-2.55,14.76,70.36,92,100,2.19,light rain,1.0,0.0
373,Klishkivtsi,UA,2019-11-08 06:38:18,48.43,26.26,42.8,100,95,4.47,overcast clouds,0.0,0.0
374,Pacific Grove,US,2019-11-08 06:38:19,36.62,-121.92,55.4,76,90,4.7,overcast clouds,0.0,0.0
375,Hervey Bay,AU,2019-11-08 06:38:19,-25.3,152.85,82.4,58,0,21.92,clear sky,0.0,0.0
376,Boone,US,2019-11-08 06:37:25,36.22,-81.67,53.6,75,100,17.22,light rain,0.5,0.0
377,Shar,NG,2019-11-08 06:38:19,7.3,8.73,75.33,92,100,3.83,overcast clouds,0.0,0.0
378,Sioux Lookout,CA,2019-11-08 06:38:19,50.1,-91.92,14.0,56,90,5.82,light snow,0.0,0.0
379,Kirensk,RU,2019-11-08 06:38:19,57.78,108.12,29.91,94,100,11.45,light snow,0.0,1.13
380,Capao Da Canoa,BR,2019-11-08 06:38:20,-29.75,-50.01,68.65,90,10,12.77,clear sky,0.0,0.0
381,Jieshi,CN,2019-11-08 06:38:20,22.82,115.83,79.23,42,0,12.37,clear sky,0.0,0.0
382,Chernyshevskiy,RU,2019-11-08 06:38:20,63.01,112.47,-0.17,88,40,5.61,scattered clouds,0.0,0.0
383,Zhezkazgan,KZ,2019-11-08 06:38:20,47.8,67.71,42.8,28,88,8.95,overcast clouds,0.0,0.0
384,Lao Cai,VN,2019-11-08 06:36:59,22.48,103.95,76.96,52,69,3.69,broken clouds,0.0,0.0
385,Mahibadhoo,MV,2019-11-08 06:38:21,3.78,72.97,83.57,71,95,7.92,moderate rain,3.44,0.0
386,Balkhash,KZ,2019-11-08 06:38:21,46.84,74.98,37.4,74,71,6.71,broken clouds,0.0,0.0
387,Qaqortoq,GL,2019-11-08 06:38:21,60.72,-46.03,46.4,28,100,24.16,overcast clouds,0.0,0.0
388,Oyama,JP,2019-11-08 06:38:21,36.31,139.8,60.8,48,20,9.17,few clouds,0.0,0.0
389,Male,UA,2019-11-08 06:38:21,50.74,33.7,45.52,91,86,6.02,overcast clouds,0.0,0.0
390,Nicoya,CR,2019-11-08 06:38:22,10.15,-85.45,80.6,69,99,9.17,overcast clouds,0.0,0.0
391,Colares,PT,2019-11-08 06:38:22,38.8,-9.45,53.6,87,75,5.82,light intensity shower rain,0.0,0.0
392,Barreirinhas,BR,2019-11-08 06:38:22,-2.75,-42.83,74.25,91,13,4.16,few clouds,0.0,0.0
393,Touros,BR,2019-11-08 06:38:22,-5.2,-35.46,75.2,83,75,4.7,broken clouds,0.0,0.0
394,Pahalgam,IN,2019-11-08 06:38:22,34.03,75.33,23.7,73,82,3.56,light snow,0.0,0.12
395,Moose Factory,CA,2019-11-08 06:38:23,51.26,-80.61,5.0,77,1,6.93,clear sky,0.0,0.0
396,Letka,BA,2019-11-08 06:38:23,43.74,17.27,48.2,100,75,3.36,mist,0.0,0.0
397,Lac Du Bonnet,CA,2019-11-08 06:38:23,50.25,-96.06,10.09,81,31,5.19,scattered clouds,0.0,0.0
398,Teruel,ES,2019-11-08 06:38:23,40.34,-1.11,42.8,69,14,9.17,few clouds,0.0,0.0
399,Sabha,LY,2019-11-08 06:38:23,27.03,14.43,63.79,42,0,7.99,clear sky,0.0,0.0
400,Rio Cuarto,AR,2019-11-08 06:38:23,-33.13,-64.35,62.6,67,0,5.82,clear sky,0.0,0.0
401,Aklavik,CA,2019-11-08 06:38:03,68.22,-135.01,12.2,72,90,12.75,light snow,0.0,0.0
402,Basco,US,2019-11-08 06:38:24,40.33,-91.2,19.4,85,1,4.7,clear sky,0.0,0.0
403,Tual,ID,2019-11-08 06:38:24,-5.67,132.75,82.98,73,93,4.16,overcast clouds,0.0,0.0
404,Blagoyevo,RU,2019-11-08 06:38:24,63.37,47.92,10.99,95,27,1.41,scattered clouds,0.0,0.0
405,Salalah,OM,2019-11-08 06:38:24,17.01,54.1,84.2,70,20,5.82,few clouds,0.0,0.0
406,Bloemfontein,ZA,2019-11-08 06:38:25,-29.12,26.22,66.2,21,0,11.41,clear sky,0.0,0.0
407,Damietta,EG,2019-11-08 06:38:25,31.42,31.81,73.4,88,0,9.17,clear sky,0.0,0.0
408,Smyrna,US,2019-11-08 06:38:25,35.98,-86.52,39.2,75,90,19.46,overcast clouds,0.0,0.0
409,Deputatskiy,RU,2019-11-08 06:38:25,69.3,139.9,-7.91,92,85,2.84,overcast clouds,0.0,0.0
410,Banda Aceh,ID,2019-11-08 06:38:25,5.56,95.32,84.83,65,97,4.34,light rain,1.0,0.0
411,Ilhabela,BR,2019-11-08 06:38:25,-23.78,-45.36,73.56,87,100,9.06,overcast clouds,0.0,0.0
412,Dhidhdhoo,MV,2019-11-08 06:38:26,6.88,73.1,82.62,74,19,7.85,few clouds,0.0,0.0
413,Dekar,BW,2019-11-08 06:38:26,-21.53,21.93,80.1,33,65,8.86,broken clouds,0.0,0.0
414,Makakilo City,US,2019-11-08 06:38:06,21.35,-158.09,77.0,88,1,6.93,light rain,0.0,0.0
415,Saint Anthony,US,2019-11-08 06:38:26,43.97,-111.68,26.6,73,1,4.7,clear sky,0.0,0.0
416,Sabzevar,IR,2019-11-08 06:38:27,36.21,57.68,60.4,12,0,9.82,clear sky,0.0,0.0
417,Sirjan,IR,2019-11-08 06:38:27,29.44,55.67,62.04,30,19,3.36,few clouds,0.0,0.0
418,Chamouny,MU,2019-11-08 06:38:27,-20.48,57.47,78.8,69,75,14.99,broken clouds,0.0,0.0
419,Walvis Bay,NA,2019-11-08 06:38:27,-22.95,14.51,57.2,82,75,9.17,broken clouds,0.0,0.0
420,Elko,US,2019-11-08 06:38:28,40.83,-115.76,33.8,50,1,4.7,clear sky,0.0,0.0
421,Antofagasta,CL,2019-11-08 06:36:30,-23.65,-70.4,60.8,77,90,4.7,overcast clouds,0.0,0.0
422,Inhuma,BR,2019-11-08 06:38:28,-6.67,-41.71,79.43,55,88,9.08,overcast clouds,0.0,0.0
423,Plymouth,GB,2019-11-08 06:38:28,50.37,-4.14,37.4,100,75,9.66,broken clouds,0.0,0.0
424,Padang,ID,2019-11-08 06:38:29,-0.92,100.36,80.28,66,100,4.79,light rain,0.38,0.0
425,Galle,GN,2019-11-08 06:38:29,10.08,-12.83,70.38,90,0,1.86,clear sky,0.0,0.0
426,Parelhas,BR,2019-11-08 06:38:29,-6.69,-36.66,67.96,86,26,17.78,scattered clouds,0.0,0.0
427,Cockburn Town,TC,2019-11-08 06:38:29,21.46,-71.14,82.22,79,3,16.37,clear sky,0.0,0.0
428,Barcelos,BR,2019-11-08 06:38:30,-0.97,-62.93,77.76,70,90,1.57,overcast clouds,0.0,0.0
429,Valentigney,CH,2019-11-08 06:38:30,47.46,6.83,42.8,93,20,3.36,few clouds,0.0,0.0
430,Beloha,MG,2019-11-08 06:38:30,-25.17,45.06,91.74,24,0,6.38,clear sky,0.0,0.0
431,Kahului,US,2019-11-08 06:38:11,20.89,-156.47,77.0,88,75,12.75,heavy intensity rain,0.0,0.0
432,Ayorou,NE,2019-11-08 06:38:30,14.73,0.92,81.97,22,5,7.05,clear sky,0.0,0.0
433,Tommot,RU,2019-11-08 06:38:31,58.97,126.27,-1.47,90,45,4.21,scattered clouds,0.0,0.0
434,Jorochito,BO,2019-11-08 06:38:31,-18.06,-63.43,71.6,100,75,9.17,broken clouds,0.0,0.0
435,Mont-Joli,CA,2019-11-08 06:38:31,48.58,-68.19,28.4,74,75,10.29,broken clouds,0.0,0.0
436,Lensk,RU,2019-11-08 06:38:31,60.71,114.91,7.39,82,47,3.94,scattered clouds,0.0,0.0
437,Bath,GB,2019-11-08 06:37:23,51.38,-2.36,44.6,100,90,9.17,light intensity drizzle,0.0,0.0
438,Rovaniemi,FI,2019-11-08 06:35:42,66.5,25.72,3.2,84,82,3.36,broken clouds,0.0,0.0
439,Polyarnyy,RU,2019-11-08 06:38:32,69.2,33.45,6.8,84,75,2.24,light shower snow,0.0,0.0
440,Son La,VN,2019-11-08 06:38:32,21.32,103.9,76.39,56,60,3.4,broken clouds,0.0,0.0
441,Cody,US,2019-11-08 06:38:32,44.53,-109.06,30.2,85,1,4.7,clear sky,0.0,0.0
442,Chapais,CA,2019-11-08 06:38:32,49.78,-74.86,19.4,92,90,3.36,light snow,0.0,0.0
443,Isla Mujeres,MX,2019-11-08 06:35:58,21.23,-86.73,75.2,100,20,4.7,few clouds,0.0,0.0
444,Vasai,IN,2019-11-08 06:38:33,22.43,69.93,82.99,38,0,17.07,clear sky,0.0,0.0
445,Lavrentiya,RU,2019-11-08 06:38:33,65.58,-170.99,27.61,78,0,17.67,clear sky,0.0,0.0
446,Bandiagara,ML,2019-11-08 06:38:33,14.35,-3.61,71.6,78,66,3.18,broken clouds,0.0,0.0
447,Quba,AZ,2019-11-08 06:38:33,41.36,48.51,58.37,35,0,1.54,clear sky,0.0,0.0
448,Lobito,AO,2019-11-08 06:38:34,-12.35,13.55,78.8,88,75,2.39,broken clouds,0.0,0.0
449,Esperance,AU,2019-11-08 06:38:34,-33.86,121.89,69.8,52,40,10.29,scattered clouds,0.0,0.0
450,Celestun,MX,2019-11-08 06:38:34,20.87,-90.4,80.73,81,45,15.03,light rain,0.69,0.0
451,Floresti,MD,2019-11-08 06:38:34,47.89,28.3,50.07,80,91,3.87,overcast clouds,0.0,0.0
452,Chinhoyi,ZW,2019-11-08 06:38:35,-17.36,30.19,83.97,33,38,14.34,scattered clouds,0.0,0.0
453,Zachary,US,2019-11-08 06:38:35,30.65,-91.16,69.8,88,75,13.87,light rain,0.0,0.0
454,Lubbock,US,2019-11-08 06:38:35,33.58,-101.86,33.8,86,90,6.93,overcast clouds,0.0,0.0
455,Nizwa,OM,2019-11-08 06:38:35,22.93,57.53,73.33,48,57,4.56,broken clouds,0.0,0.0
456,Umm Kaddadah,SD,2019-11-08 06:38:35,13.6,26.69,77.7,14,0,16.37,clear sky,0.0,0.0
457,Kletskaya,RU,2019-11-08 06:38:35,49.31,43.06,57.6,63,100,12.91,overcast clouds,0.0,0.0
458,Alofi,NU,2019-11-08 06:38:36,-19.06,-169.92,75.2,88,29,4.7,light rain,0.25,0.0
459,Ouro Preto Do Oeste,BR,2019-11-08 06:38:36,-10.75,-62.22,72.82,86,99,2.24,overcast clouds,0.0,0.0
460,Mao,DO,2019-11-08 06:38:36,19.55,-71.08,73.4,100,40,4.7,scattered clouds,0.0,0.0
461,Lang Son,VN,2019-11-08 06:35:39,21.83,106.73,75.0,48,81,6.8,broken clouds,0.0,0.0
462,Thinadhoo,MV,2019-11-08 06:38:37,0.53,72.93,82.49,72,90,9.48,overcast clouds,0.0,0.0
463,Laguna,BZ,2019-11-08 06:38:37,16.17,-88.94,75.2,100,90,2.24,thunderstorm,0.0,0.0
464,Mollendo,PE,2019-11-08 06:38:37,-17.03,-72.02,58.86,90,97,4.72,overcast clouds,0.0,0.0
465,Lafayette,US,2019-11-08 06:38:06,30.22,-92.02,64.4,82,90,9.17,overcast clouds,0.0,0.0
466,Kolondieba,ML,2019-11-08 06:38:38,11.09,-6.89,74.89,72,51,3.76,broken clouds,0.0,0.0
467,Prince Rupert,CA,2019-11-08 06:38:38,54.32,-130.32,51.8,93,90,13.87,light rain,0.0,0.0
468,Aksu,KZ,2019-11-08 06:38:38,52.04,76.93,37.4,69,90,17.9,light intensity shower rain,0.0,0.0
469,Ahuimanu,US,2019-11-08 06:38:38,21.44,-157.84,77.0,83,90,3.36,light rain,0.0,0.0
470,Plettenberg Bay,ZA,2019-11-08 06:38:39,-34.05,23.37,63.57,61,77,4.5,broken clouds,0.0,0.0
